DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],Avg Ambient Air Temperature [c],Area,Idling portion,Duration,CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1],laged_distance,laged_distance_corrected, speed distance ,VehicleAge,VehicleSize,EngineSize,VehicleWeight,VehicleWeightKG 
8/21/2019 12:16,45.5158,-73.5726,46.32125,1.8,0,692,0,1.484256,41,4.46,36.4561,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.006452407,0.296026613,0.303226601,170300,295355.0464,0.00101886,1.018859546,0,0,0,14,1,3,3389,1537
8/21/2019 12:16,45.51581,-73.57261,46.43399,3.276,0,916.25,0,2.036692,41,6.12,49.06712,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.0269648,0.406206904,0.416086727,170300,295355.0464,0.001398076,1.398076328,1.358594027,1.358594027,0,14,1,3,3389,1537
8/21/2019 12:16,45.51582,-73.57262,46.84555,5.688,0,916.25,0,2.036692,41,6.12,49.06712,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.055021212,0.406206904,0.416086727,170300,295355.0464,0.001398076,1.398076328,1.358593948,1.358593948,0,14,1,3,3389,1537
8/21/2019 12:16,45.51583,-73.57265,46.90731,5.688,4,1135.5,0.1651617,3.025086,41,9.09,55.04211,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.031535754,0.603336597,0.618011167,170300,295355.0464,0.002076555,2.076554545,2.594221589,2.594221589,1.111111111,14,1,3,3389,1537
8/21/2019 12:16,45.51585,-73.57267,47.07449,8.748,4,1135.5,0.1651617,3.025086,41,9.09,55.04211,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.019757109,0.603336597,0.618011167,170300,295355.0464,0.002076555,2.076554545,2.717187506,2.717187506,1.111111111,14,1,3,3389,1537
8/21/2019 12:16,45.51585,-73.57267,47.07449,8.748,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.019757109,0.724136706,0.741749377,170300,295355.0464,0.002492322,2.492322342,0,2.222222222,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.5159,-73.57275,46.7864,15.552,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.016163861,0.724136706,0.741749377,170300,295355.0464,0.002492322,2.492322342,8.36390337,8.36390337,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.5159,-73.57275,46.7864,15.552,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.016163861,0.724136706,0.741749377,170300,295258.3355,0.002491506,2.491506258,0,2.222222222,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.51596,-73.57284,47.01986,15.552,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.014268116,0.724136706,0.741749377,170300,295258.3355,0.002491506,2.491506258,9.691309124,9.691309124,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.51598,-73.57288,47.04226,16.344,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.007087276,0.724136706,0.741749377,170300,295258.3355,0.002491506,2.491506258,3.835279887,3.835279887,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.51598,-73.57288,47.04226,16.344,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.007087276,0.724136706,0.741749377,170300,295355.0464,0.002492322,2.492322342,0,2.222222222,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.516,-73.57294,47.1166,16.344,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.025526785,0.724136706,0.741749377,170300,295258.3355,0.002491506,2.491506258,5.188430824,5.188430824,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.51604,-73.57302,47.31314,14.22,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.04,32.3,0.017104542,0.724136706,0.741749377,170400,295528.4786,0.002493786,2.493785832,7.670555284,7.670555284,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.51604,-73.57302,47.31314,14.22,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.017104542,0.724136706,0.741749377,170300,295355.0464,0.002492322,2.492322342,0,2.222222222,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.51607,-73.57307,47.60977,14.22,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.012332123,0.724136706,0.741749377,170300,295355.0464,0.002492322,2.492322342,5.136174546,5.136174546,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.5161,-73.5731,47.04422,15.048,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.003622346,0.724136706,0.741749377,170300,295258.3355,0.002491506,2.491506258,4.075775525,4.075775525,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.51615,-73.57321,46.85977,18.684,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.00103981,0.724136706,0.741749377,170300,295355.0464,0.002492322,2.492322342,10.23494753,10.23494753,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.51615,-73.57321,46.85977,18.684,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.00103981,0.724136706,0.741749377,170300,295355.0464,0.002492322,2.492322342,0,2.222222222,2.222222222,14,1,3,3389,1537
8/21/2019 12:16,45.51617,-73.57327,46.70816,18.72,8,1231,0.502768,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.002663684,0.724136706,0.741749377,170300,295355.0464,0.002492322,2.492322342,5.188418096,5.188418096,2.222222222,14,1,3,3389,1537
8/21/2019 12:17,45.5162,-73.57333,46.72146,18.684,13,1048.25,0.5122535,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.014977452,0.724136706,0.741749377,170300,295355.0464,0.002492322,2.492322342,5.752905354,5.752905354,3.611111111,14,1,3,3389,1537
8/21/2019 12:17,45.51624,-73.57344,47.4595,18.144,13,1048.25,0.5122535,3.630769,42,10.91,53.30683,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.004890076,0.724136706,0.741749377,170300,295258.3355,0.002491506,2.491506258,9.676602735,9.676602735,3.611111111,14,1,3,3389,1537
8/21/2019 12:17,45.51625,-73.57349,47.63638,14.976,18,849.25,0.230691,3.630769,42,4.81,25.5391,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.001112484,0.724136706,0.327022411,170300,295355.0464,0.001098815,1.098814892,4.061794609,4.061794609,5,14,1,3,3389,1537
8/21/2019 12:17,45.51625,-73.57349,47.63638,14.976,16,802.5,-0.09974761,1.55747,42,4.68,30.67155,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.001112484,0.310628739,0.318183967,170300,295258.3355,0.001068767,1.068767121,0,4.444444444,4.444444444,14,1,3,3389,1537
8/21/2019 12:17,45.51631,-73.57358,46.97293,14.976,16,802.5,-0.09974761,1.55747,42,4.68,30.67155,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.01183505,0.310628739,0.318183967,170300,295258.3355,0.001068767,1.068767121,9.691277774,9.691277774,4.444444444,14,1,3,3389,1537
8/21/2019 12:17,45.51631,-73.57358,46.97293,14.976,16,802.5,-0.09974761,1.55747,42,4.68,30.67155,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.01183505,0.310628739,0.318183967,170300,295355.0464,0.001069117,1.069117192,0,4.444444444,4.444444444,14,1,3,3389,1537
8/21/2019 12:17,45.51633,-73.57362,46.78842,14.04,16,802.5,-0.09974761,1.55747,42,4.68,30.67155,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.002571818,0.310628739,0.318183967,170300,295355.0464,0.001069117,1.069117192,3.835264177,3.835264177,4.444444444,14,1,3,3389,1537
8/21/2019 12:17,45.51634,-73.57365,46.9335,13.572,16,802.5,-0.09974761,1.55747,42,4.68,30.67155,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.004482776,0.310628739,0.318183967,170300,295355.0464,0.001069117,1.069117192,2.594202497,2.594202497,4.444444444,14,1,3,3389,1537
8/21/2019 12:17,45.51634,-73.57369,46.94674,7.956,15,758.75,-0.2391007,1.57411,41,4.73,32.80511,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.016007408,0.313947494,0.321583369,170300,295355.0464,0.001080539,1.080539384,3.12541813,3.12541813,4.166666667,14,1,3,3389,1537
8/21/2019 12:17,45.51637,-73.57373,47.8403,7.956,10,809.5,-0.2510592,1.643996,41,4.94,36.12214,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.011560773,0.327885869,0.335860854,170300,295355.0464,0.001128513,1.128512591,4.570065285,4.570065285,2.777777778,14,1,3,3389,1537
8/21/2019 12:17,45.51637,-73.57373,47.8403,7.956,10,809.5,-0.2510592,1.643996,41,4.94,36.12214,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.011560773,0.327885869,0.335860854,170300,295355.0464,0.001128513,1.128512591,0,2.777777778,2.777777778,14,1,3,3389,1537
8/21/2019 12:17,45.51635,-73.57377,47.97067,4.968,10,809.5,-0.2510592,1.643996,41,4.94,36.12214,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.014244627,0.327885869,0.335860854,170300,295258.3355,0.001128143,1.128143072,3.835262382,3.835262382,2.777777778,14,1,3,3389,1537
8/21/2019 12:17,45.51635,-73.57377,47.97067,4.968,10,809.5,-0.2510592,1.643996,41,4.94,36.12214,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.014244627,0.327885869,0.335860854,170300,295258.3355,0.001128143,1.128143072,0,2.777777778,2.777777778,14,1,3,3389,1537
8/21/2019 12:17,45.51636,-73.57379,47.83578,6.48,6,701.25,-0.4908924,1.411041,41,4.24,29.05991,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.026743621,0.281424288,0.288269235,170300,295355.0464,0.000968602,0.9686019,1.917631303,1.917631303,1.666666667,14,1,3,3389,1537
8/21/2019 12:17,45.51638,-73.57381,48.0242,4.644,6,701.25,-0.4908924,1.411041,41,4.24,29.05991,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.03533267,0.281424288,0.288269235,170300,295258.3355,0.000968285,0.968284742,2.717179237,2.717179237,1.666666667,14,1,3,3389,1537
