DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],Avg Ambient Air Temperature [c],Area,Idling portion,Duration,CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1],trip,laged_distance,laged_distance_corrected, speed distance ,VehicleAge,VehicleSize,EngineSize,VehicleWeight,VehicleWeightKG 
10/7/2019 13:38,45.5509,-73.61008,52.50442,23.616,23,1453.25,0.3910025,2.85869,38,8.951003,51.76471,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,0.005992754,0.570149839,0.608561036,178100,310203.6387,0.002147601,2.147601284,Chevrolet_Malibu,7.081136667,7.081136667,6.388888889,1,0,1.5,3078,1396
10/7/2019 13:38,45.55086,-73.61,52.5942,24.876,24,1159.75,0.05205136,0.9784108,38,3.571624,25.88235,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,0.006444369,0.195138598,0.24282767,178100,310203.6387,0.000856935,0.856934613,Chevrolet_Malibu,7.667425267,7.667425267,6.666666667,1,0,1.5,3078,1396
10/7/2019 13:39,45.55083,-73.60995,52.16226,24.768,24,1159.75,0.05205136,0.9784108,38,3.571624,25.88235,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,-0.013325655,0.195138598,0.24282767,178100,310203.6387,0.000856935,0.856934613,Chevrolet_Malibu,5.134356337,5.134356337,6.666666667,1,0,1.5,3078,1396
10/7/2019 13:39,45.5508,-73.60987,52.32431,23.868,24,1023.25,-1.11E-16,0.8619333,38,3.151252,25.88235,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,-0.021868615,0.171907808,0.214247407,178100,310203.6387,0.000756075,0.756075363,Chevrolet_Malibu,7.081146414,7.081146414,6.666666667,1,0,1.5,3078,1396
10/7/2019 13:39,45.55077,-73.60981,51.87448,19.548,24,1023.25,-1.11E-16,0.8619333,38,3.151252,25.88235,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,-0.015224941,0.171907808,0.214247407,178100,310203.6387,0.000756075,0.756075363,Chevrolet_Malibu,5.750575348,5.750575348,6.666666667,1,0,1.5,3078,1396
10/7/2019 13:39,45.55074,-73.60975,51.98037,19.512,24,1023.25,-1.11E-16,0.8619333,38,3.151252,25.88235,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,0.010586066,0.171907808,0.214247407,178100,310203.6387,0.000756075,0.756075363,Chevrolet_Malibu,5.750577369,5.750577369,6.666666667,1,0,1.5,3078,1396
10/7/2019 13:39,45.55073,-73.60971,51.59976,14.112,22,1122.5,-0.1811203,0.9584432,38,3.917828,29.33333,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.82,31,0.014994653,0.191156172,0.266365397,178200,310377.8125,0.000940527,0.940526634,Chevrolet_Malibu,3.315358683,3.315358683,6.111111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.55073,-73.60969,51.76553,8.928,13,1066.75,-0.6527372,1.114856,38,3.94226,31.05882,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,0.017210946,0.222351836,0.26802648,178100,310203.6387,0.000945861,0.945860775,Chevrolet_Malibu,1.561756905,1.561756905,3.611111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.55072,-73.60967,51.85165,4.032,9,930,-1.001482,1.161447,38,4.582519,41.41177,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,9.98E-05,0.231644152,0.311556426,178100,310203.6387,0.001099477,1.099477197,Chevrolet_Malibu,1.916859798,1.916859798,2.5,1,0,1.5,3078,1396
10/7/2019 13:39,45.55072,-73.60966,51.49722,3.636,5,801,-1.115927,1.208038,38,4.440239,46.58823,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,-0.02231415,0.240936468,0.30188309,178100,310203.6387,0.00106534,1.065340161,Chevrolet_Malibu,0.78087859,0.78087859,1.388888889,1,0,1.5,3078,1396
