DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],Total Fuel Economy [L/100km],Trip Fuel [L],PM Conc. [µg.m-3],PN Conc. [#.cm-3],NO2 [v],NO2 Conc. [ppm],NO [v],NO Conc. [ppm],CO2 [v],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],PM Conc. [mg.m-3],PM Rate [kg.s-1],PM Rate [g.s-1],NO2 Conc. [mg.m-3],NO2 Rate [kg.s-1],NO2 Rate [g.s-1],NO Conc. [mg.m-3],NO Rate [kg.s-1],NO Rate [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1],VehicleAge,VehicleSize,EngineSize,VehicleWeight,VehicleWeightKG 
8/16/2024 10:41,45.50577,-73.57576,55,1.310071,0,552.25,-7.36E-16,1.617373,53,4.86,76.00126,101,0.999424,29,0,0.1823778,1445.1,7687602.06,0.001353,0.1704,0,0,1.758295,13.9342,31.562,0.089975261,0.322576059,0.330421812,1.4451,5.43E-09,5.43E-06,0.312804264,1.18E-09,1.18E-06,0,0,0,139342,244671.9874,0.00091972,0.9197199,2,3,4.3,11023,5000
8/16/2024 10:41,45.50577,-73.57575,55.1,1.53799,0,552.25,-7.36E-16,1.617373,53,4.86,76.00126,101,0.999424,29,0,0.1823778,1200.08,7527023.22,0.001939,0.2442,0.000402,1.0717,1.762593,13.9683,31.571,0.089975261,0.322576059,0.330421812,1.20008,4.51E-09,4.51E-06,0.448266104,1.69E-09,1.69E-06,1.283149426,4.82E-09,4.82E-06,139683,245263.505,0.000921943,0.92194341,2,3,4.3,11023,5000
8/16/2024 10:41,45.50577,-73.57574,55.3,1.732555,0,552.25,-7.36E-16,1.634013,53,4.91,76.81792,101,0.999424,29,0,0.1829976,1200.79,7356692.33,0.000669,0.0843,0,0,1.758392,13.935,31.571,0.089975261,0.325894815,0.333821214,1.20079,4.56E-09,4.56E-06,0.154745424,5.88E-10,5.88E-07,0,0,0,139350,244678.8043,0.000929208,0.929207927,2,3,4.3,11023,5000
8/16/2024 10:41,45.50578,-73.57574,55.4,1.938238,0,555.75,-7.36E-16,1.617373,53,4.86,76.03567,101,0.999424,29,0,0.1839751,1218.79,7175856.56,0.002134,0.2688,0,0,1.762495,13.9675,31.562,0.089975261,0.322576059,0.330421812,1.21879,4.58E-09,4.58E-06,0.493437713,1.85E-09,1.85E-06,0,0,0,139675,245256.7054,0.000921918,0.92191785,2,3,4.3,11023,5000
8/16/2024 10:41,45.50577,-73.57574,55.7,2.027182,0,555.75,-7.36E-16,1.617373,53,4.86,76.03567,101,0.999424,29,0,0.1839751,1387.75,6968040.29,0.001353,0.1704,0,0,1.761616,13.9605,31.562,0.089975261,0.322576059,0.330421812,1.38775,5.22E-09,5.22E-06,0.312804264,1.18E-09,1.18E-06,0,0,0,139605,245133.7917,0.000921456,0.921455819,2,3,4.3,11023,5000
8/16/2024 10:41,45.50576,-73.57574,56.1,2.05683,0,555.75,-7.36E-16,1.577438,53,4.74,73.69121,101,0.999424,29,0,0.1845702,1148.01,6758692.39,0.001939,0.2442,0.000793,2.1129,1.762104,13.9644,31.554,0.089975261,0.314611246,0.322263249,1.14801,4.21E-09,4.21E-06,0.448291126,1.64E-09,1.64E-06,2.529922327,9.28E-09,9.28E-06,139644,245208.7132,0.000898978,0.898978498,2,3,4.3,11023,5000
8/16/2024 10:41,45.50576,-73.57574,56.2,1.917855,0,538.25,-7.36E-16,1.65398,53,4.97,77.26694,101,0.999424,29,0,0.1854209,1237.42,6542576.85,0.000376,0.0474,0.000207,0.551,1.758197,13.9334,31.571,0.089975261,0.329877122,0.337900495,1.23742,4.76E-09,4.76E-06,0.087009883,3.34E-10,3.34E-07,0.659713851,2.54E-09,2.54E-06,139334,244650.7106,0.000940455,0.940454816,2,3,4.3,11023,5000
8/16/2024 10:41,45.50575,-73.57573,56.4,1.840029,0,538.25,-7.36E-16,1.65398,53,4.97,77.26694,101,0.999424,29,0,0.1854209,1057.29,6243274.84,0.002037,0.2565,0.000304,0.8113,1.760248,13.9497,31.562,0.071980209,0.329877122,0.337900495,1.05729,4.06E-09,4.06E-06,0.470858532,1.81E-09,1.81E-06,0.971400478,3.73E-09,3.73E-06,139497,244944.1535,0.000941583,0.941582831,2,3,4.3,11023,5000
8/16/2024 10:41,45.50574,-73.57573,56.5,1.695495,0,559.5,-7.36E-16,1.680604,53,5.05,81.06327,101,0.999424,29,0,0.1860206,1032.72,6037795.37,0.000571,0.072,0,0,1.757416,13.9272,31.554,0.053985157,0.335187131,0.343339537,1.03272,4.03E-09,4.03E-06,0.132174288,5.16E-10,5.16E-07,0,0,0,139272,244555.4975,0.000955221,0.955221025,2,3,4.3,11023,5000
8/16/2024 10:41,45.50574,-73.57573,56.5,1.539843,0,553.5,-7.36E-16,1.610717,53,4.84,74.74155,101,0.999424,29,0,0.1866949,1133.91,5961750.29,0.002525,0.3181,0.000207,0.551,1.75976,13.9458,31.571,0.053985157,0.321248557,0.329062052,1.13391,4.24E-09,4.24E-06,0.583920752,2.19E-09,2.19E-06,0.659713851,2.47E-09,2.47E-06,139458,244868.437,0.00091667,0.916670458,2,3,4.3,11023,5000
